#Release 12.3 - par M.70d (nt)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Wed Feb 23 14:38:17 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Super_PWM_map.ncd
#OUTPUT FILE:      Super_PWM_pad.csv
#PART TYPE:        xc3s50an
#SPEED GRADE:      -4
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P90,Port0<3>,IOB,IO_L06P_1/RHCLK4,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P91,Port1<3>,IOB,IO_L07P_1/IRDY1/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P92,Port0<4>,IOB,IO_L06N_1/RHCLK5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P93,Port1<4>,IOB,IO_L07N_1/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P94,,,VCCINT,,,,,,,,1.2,,,,
P95,,,VCCO_1,,,1,,,,,2.50,,,,
P96,Port0<5>,IOB,IO_L08P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P97,,DIFFMI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
P98,Port1<5>,IOB,IO_L08N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P99,,DIFFMLR,IO_L09P_1,UNUSED,,1,,,,,,,,,
P100,,,GND,,,,,,,,,,,,
P101,Port0<6>,IOB,IO_L09N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P102,Port1<6>,IOB,IO_L10P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P103,,DIFFMLR,IO_L11P_1,UNUSED,,1,,,,,,,,,
P104,Port0<7>,IOB,IO_L10N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P105,Port1<7>,IOB,IO_L11N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P106,,,GND,,,,,,,,,,,,
P107,,,TDO,,,,,,,,,,,,
P108,,,VCCAUX,,,,,,,,3.3,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,DIFFMTB,IO_L01P_0,UNUSED,,0,,,,,,,,,
P111,MOSI,IBUF,IO_L01N_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
P112,MISO,IOB,IO_L02P_0/VREF_0,TRISTATE,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P113,SCLK,IBUF,IO_L02N_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
P114,,DIFFMTB,IO_L04P_0,UNUSED,,0,,,,,,,,,
P115,LED_Red,IOB,IO_L03P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P116,,DIFFSTB,IO_L04N_0,UNUSED,,0,,,,,,,,,
P117,LED_Green,IOB,IO_L03N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P118,,,GND,,,,,,,,,,,,
P119,,,VCCO_0,,,0,,,,,2.50,,,,
P120,,DIFFMTB,IO_L05P_0,UNUSED,,0,,,,,,,,,
P121,Port2<0>,IOB,IO_L05N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P122,,,VCCINT,,,,,,,,1.2,,,,
P123,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
P124,Port3<0>,IOB,IO_L06P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P125,Port2<1>,IOB,IO_L07P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P126,Port3<1>,IOB,IO_L06N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P127,Port2<2>,IOB,IO_L07N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P128,,,GND,,,,,,,,,,,,
P129,Port3<2>,IOB,IO_L08P_0/GCLK8,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P130,Port2<3>,IOB,IO_L09P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P131,Port3<3>,IOB,IO_L08N_0/GCLK9,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P132,Port2<4>,IOB,IO_L09N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P133,,,VCCAUX,,,,,,,,3.3,,,,
P134,Port3<4>,IOB,IO_L10P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P135,Port2<5>,IOB,IO_L10N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P136,,,VCCO_0,,,0,,,,,2.50,,,,
P137,,,GND,,,,,,,,,,,,
P138,Port3<5>,IOB,IO_L11P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P139,Port2<6>,IOB,IO_L11N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P140,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
P141,Port3<6>,IOB,IO_L12P_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P142,Port2<7>,IOB,IO_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P143,Port3<7>,IOB,IO_L12N_0/PUDC_B,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P144,,,PROG_B,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
